hour,day_of_week,traffic_density,rainfall,visibility,speed_avg,junction_score,accident_risk
1,3,53,66,46,53,8,1
16,4,17,29,57,60,8,1
13,5,83,69,96,29,8,0
12,1,55,65,10,71,4,0
8,5,78,60,28,94,9,0
14,4,28,77,55,76,3,1
21,6,47,40,76,97,7,1
14,6,20,81,11,22,6,1
23,5,52,50,65,76,9,0
10,3,29,43,26,52,4,1
15,2,29,94,91,26,4,1
16,3,30,12,88,23,6,0
3,5,91,89,31,58,8,0
0,3,66,11,36,67,3,0
7,4,59,81,64,93,8,1
16,1,83,8,41,98,8,1
2,3,35,84,69,35,7,1
19,4,39,47,92,57,7,1
14,1,82,48,37,23,5,1
14,6,40,52,37,23,2,1
23,2,51,55,83,119,2,1
21,5,77,39,93,46,8,0
13,6,70,23,34,105,6,1
22,2,70,97,94,105,8,1
13,6,79,71,87,36,3,0
23,0,87,32,95,117,1,0
1,6,77,22,35,115,6,0
12,4,99,76,84,89,2,0
13,1,26,53,80,73,9,1
23,6,28,52,26,116,5,1
18,3,60,48,91,27,5,0
6,2,79,77,16,72,8,0
2,6,72,77,65,119,6,1
14,1,84,79,73,24,3,0
22,4,89,48,29,88,9,0
13,0,39,59,47,66,4,1
10,2,34,89,84,93,4,0
14,5,84,89,67,59,2,1
12,1,80,64,25,26,3,0
17,5,35,31,60,31,4,1
5,1,65,78,36,113,7,0
2,1,31,20,60,44,3,1
18,4,98,17,84,47,8,1
14,4,28,93,25,62,8,0
22,4,40,59,96,96,2,0
4,6,35,12,69,66,4,0
9,3,51,23,85,68,8,0
6,1,50,29,49,105,1,0
16,2,32,1,76,73,1,1
6,5,56,82,11,37,4,1
21,4,22,24,57,46,2,1
11,6,98,49,61,91,1,1
16,4,75,13,33,25,8,0
12,5,75,5,93,94,2,1
19,5,25,75,91,112,4,1
3,1,82,83,87,88,3,1
9,4,37,86,91,90,2,0
2,5,86,29,11,41,8,0
8,3,44,29,74,78,3,1
12,3,50,37,29,66,9,0
17,4,86,57,43,87,5,1
14,6,40,93,50,51,9,0
3,5,94,40,50,102,3,0
14,1,41,93,84,116,5,0
21,1,63,56,32,20,6,1
1,6,81,35,47,73,9,0
14,1,68,63,53,65,8,1
7,0,50,97,76,60,2,0
7,4,75,15,71,60,2,1
16,1,63,87,21,27,5,1
11,3,49,77,39,51,5,1
18,5,37,89,96,49,5,1
9,2,46,71,74,65,4,1
8,6,74,13,50,111,8,1
4,2,83,30,29,71,5,0
5,1,64,65,15,115,1,1
19,2,13,67,84,108,5,0
1,2,19,64,13,117,1,1
23,0,56,54,19,80,4,1
12,3,84,83,60,116,1,0
5,6,23,77,47,32,6,1
4,3,47,39,10,108,6,0
0,0,21,24,17,59,1,1
20,0,54,24,90,80,8,0
21,2,26,2,92,63,4,0
20,4,89,68,72,81,2,1
5,5,44,25,42,63,1,0
5,5,75,39,24,67,3,0
22,2,84,37,40,93,7,1
15,5,50,37,30,78,8,1
3,0,76,67,12,76,5,1
10,3,38,6,75,114,7,0
23,5,27,93,44,30,2,0
22,6,29,29,50,44,4,0
8,2,23,18,68,80,6,1
22,4,43,34,25,65,5,1
2,2,58,32,65,73,6,0
18,1,63,32,54,53,2,1
7,2,40,77,68,103,7,1
4,0,67,37,59,26,8,1
3,3,51,9,94,116,9,1
23,3,67,56,21,81,6,1
5,6,91,27,21,76,7,0
1,5,39,77,42,118,1,0
19,0,34,99,93,112,9,1
10,1,72,37,58,95,6,1
3,0,28,15,30,24,4,0
14,2,81,20,69,95,9,0
5,0,17,91,61,112,1,0
21,0,12,96,63,54,2,0
16,6,76,5,48,103,3,0
23,1,95,40,58,56,1,1
5,2,90,14,73,79,2,0
18,4,26,2,95,84,2,0
1,6,23,42,35,35,7,0
14,4,18,46,80,49,6,0
10,6,71,98,16,92,9,1
7,3,30,13,81,61,5,1
18,6,85,65,71,80,9,0
12,5,46,28,99,93,9,0
11,0,20,3,97,96,2,1
4,3,29,25,33,67,9,0
5,1,44,11,49,81,3,0
21,4,62,1,85,103,3,1
3,6,56,16,56,112,9,1
18,0,84,34,17,83,7,0
19,1,61,9,63,76,8,0
0,5,17,85,18,87,7,1
19,1,13,42,12,65,9,1
16,0,36,20,63,47,8,1
11,5,53,14,30,96,4,0
14,1,49,34,57,22,2,0
0,5,56,84,56,56,5,0
13,6,53,84,97,67,2,1
5,6,57,84,77,38,4,0
4,0,94,59,93,111,2,1
10,0,61,43,72,102,5,0
3,5,93,95,25,36,6,1
12,2,77,4,83,101,1,0
10,3,20,72,99,101,8,1
2,1,86,17,14,106,2,1
0,1,82,20,20,59,5,1
5,2,13,71,38,69,8,1
17,2,85,97,88,92,5,0
23,2,82,73,79,48,3,1
9,4,86,50,57,70,6,0
4,4,57,40,24,61,1,0
22,5,35,23,93,48,1,1
9,4,86,23,43,85,8,1
11,6,48,95,69,36,7,0
1,6,67,96,71,50,3,0
12,0,28,37,11,111,8,0
7,5,97,43,89,71,8,0
1,1,92,56,28,58,1,0
19,3,86,58,58,79,7,0
0,0,86,33,87,113,2,0
4,1,67,74,97,118,2,1
8,1,37,94,37,70,2,0
16,5,75,81,57,103,5,0
8,2,19,22,46,35,7,1
10,2,95,85,83,117,4,0
14,0,86,42,58,33,4,0
23,2,67,81,57,109,9,1
5,1,82,39,82,103,9,0
22,2,23,46,97,61,7,0
2,4,93,40,38,70,4,1
16,2,24,46,69,43,8,1
4,1,42,19,38,101,3,0
11,5,26,76,67,62,3,1
17,0,33,64,57,92,7,1
13,3,39,67,32,38,9,0
20,2,71,23,36,103,4,1
23,6,22,99,16,80,4,1
10,6,71,35,58,113,1,0
8,1,56,44,63,82,1,0
1,3,25,1,77,45,3,1
11,3,75,27,87,114,7,1
2,4,90,25,51,54,9,0
2,3,52,22,83,86,4,0
0,6,17,78,68,75,2,1
7,5,12,35,53,59,6,0
21,1,21,90,35,48,6,0
7,1,93,5,32,25,9,1
10,2,25,34,82,71,4,1
8,2,87,37,17,20,8,0
4,2,89,34,62,71,3,0
13,6,68,99,23,43,2,1
2,6,58,73,80,53,9,0
20,6,72,93,16,26,6,1
4,6,71,52,18,94,8,0
4,6,58,37,12,30,9,0
18,6,60,92,87,55,1,0
13,5,42,58,26,39,1,1
3,6,39,42,53,82,5,1
12,3,68,3,95,99,9,0
9,3,85,4,55,82,7,0
17,4,24,67,99,88,7,1
7,5,91,99,67,107,2,1
7,2,32,44,37,49,3,0
6,0,87,79,23,49,4,1
7,6,54,24,18,116,2,1
13,4,71,77,35,103,9,0
18,0,88,10,11,41,5,0
5,3,80,28,84,80,7,1
0,4,24,33,90,40,9,1
22,4,55,85,43,56,5,0
14,1,73,13,28,46,6,1
0,3,55,23,48,54,4,0
16,3,65,58,91,57,8,0
0,5,53,38,22,79,1,1
14,4,84,25,14,89,1,0
22,6,38,42,59,51,5,0
1,3,71,35,32,99,9,0
13,4,98,38,97,111,2,0
20,5,61,60,38,99,3,0
7,6,63,15,81,46,8,1
7,5,97,58,35,22,5,0
18,1,66,95,88,68,3,0
6,6,92,5,66,104,6,0
18,4,75,97,10,49,6,1
5,3,31,55,37,41,5,0
5,3,29,7,71,38,5,0
2,4,42,93,56,50,6,0
6,4,81,26,87,39,2,0
18,4,34,70,68,38,6,1
7,2,55,26,40,21,2,1
9,6,82,88,79,59,3,0
19,3,66,45,58,58,2,1
14,6,96,40,14,110,1,1
14,5,14,78,40,91,1,1
0,3,64,24,46,73,9,0
19,2,70,85,88,46,4,0
6,4,98,17,24,98,5,0
3,1,17,11,61,31,7,0
5,4,25,86,78,97,2,0
0,4,57,50,20,90,9,0
4,2,70,38,52,36,4,1
22,6,24,88,79,109,1,1
0,3,74,9,32,103,8,1
3,4,31,93,49,29,4,1
21,3,12,73,72,38,7,1
1,0,63,97,11,101,3,0
9,5,23,76,88,49,9,0
4,6,45,53,96,49,5,1
9,3,91,28,95,44,5,0
0,1,91,40,82,107,3,0
21,5,76,8,56,93,9,0
5,1,19,62,39,85,3,0
12,4,58,76,25,115,2,0
14,5,74,36,68,54,9,1
3,3,66,13,56,70,9,1
12,5,36,72,39,90,4,1
23,4,84,71,18,90,4,0
19,2,14,38,74,46,6,0
23,6,80,39,68,29,9,0
14,1,92,53,73,116,8,0
7,4,66,2,17,62,3,1
4,2,24,54,61,74,6,0
14,5,85,32,27,90,7,1
3,5,39,95,91,25,6,1
11,4,29,70,67,25,3,1
12,3,46,18,58,96,9,1
1,5,12,33,41,67,4,0
18,3,82,77,57,96,2,0
18,3,50,49,54,21,9,1
3,6,48,46,63,102,3,0
3,3,35,45,94,70,6,0
10,0,11,55,55,80,5,0
4,6,32,56,40,38,2,1
19,2,32,82,46,21,1,1
10,2,94,50,25,70,9,1
9,5,25,53,55,45,3,1
7,5,18,89,55,89,7,1
5,3,22,80,87,39,9,1
5,6,37,27,97,42,9,1
7,6,36,18,98,73,6,0
22,0,60,26,70,34,8,1
14,3,73,47,55,25,9,0
13,0,61,18,60,111,3,1
10,3,90,96,71,54,6,0
11,1,47,50,44,94,5,0
12,1,74,6,90,27,7,0
7,4,27,28,51,76,7,0
17,3,72,42,54,69,9,1
0,6,60,68,77,68,1,1
14,5,18,93,84,107,6,1
7,2,22,57,56,40,5,1
10,4,49,7,88,55,4,1
11,5,64,41,39,90,1,1
11,1,88,75,33,88,4,1
3,3,52,41,75,77,7,1
15,4,53,12,52,82,4,1
3,3,77,25,43,112,1,1
4,1,42,17,32,35,1,1
23,4,33,41,70,25,1,0
4,1,45,50,46,97,5,0
7,0,19,83,22,71,7,0
9,1,29,15,80,21,9,0
16,6,84,2,16,108,8,0
8,6,21,90,51,114,2,1
21,3,71,78,47,96,9,1
18,2,27,97,61,37,4,0
13,1,72,44,53,100,5,1
7,5,93,21,73,111,5,0
8,6,34,22,22,95,4,1
21,2,21,58,97,54,6,1
10,0,30,61,37,105,1,0
22,4,34,67,91,58,2,0
0,4,20,53,10,20,4,0
13,6,73,56,52,56,4,1
4,2,82,22,51,40,8,0
20,6,59,59,59,20,9,1
13,4,71,72,69,23,4,1
3,1,98,87,10,115,6,1
21,2,58,84,60,77,4,1
22,3,23,54,25,20,4,0
0,1,10,79,48,32,9,0
21,1,90,62,24,65,4,0
22,1,34,55,42,66,6,0
18,3,68,54,96,100,9,1
7,0,81,24,62,95,3,0
14,5,78,25,26,26,7,0
20,6,14,48,98,70,7,0
14,4,28,62,15,22,1,0
8,6,32,44,40,69,2,1
20,2,18,72,78,45,5,1
8,0,59,78,49,50,8,1
9,2,25,38,39,119,6,1
19,6,42,96,78,81,7,0
20,4,11,64,85,45,3,1
8,3,23,68,16,86,6,0
2,6,10,55,22,74,9,0
19,1,99,8,13,47,3,0
10,6,67,69,59,63,6,0
5,1,98,27,12,100,7,1
1,3,25,44,21,57,5,1
6,6,88,25,74,49,8,0
17,0,99,27,36,85,8,1
1,0,56,39,59,27,6,1
16,2,53,14,86,33,7,0
10,3,89,5,26,118,3,0
11,0,23,26,81,81,7,1
18,6,33,37,41,94,7,0
21,3,64,67,93,82,4,1
23,4,24,74,60,98,4,0
6,1,92,84,26,85,3,0
19,6,81,63,43,115,7,0
5,1,43,29,44,59,5,0
20,1,11,81,33,32,3,1
23,3,36,98,63,36,6,1
0,3,83,2,27,34,6,1
16,2,96,61,59,52,6,1
10,1,81,11,55,35,2,0
21,2,32,90,57,32,7,0
17,1,77,29,42,105,7,1
20,2,23,84,96,42,4,1
16,2,72,37,98,55,6,1
6,4,74,84,36,62,4,1
16,2,77,59,10,69,4,1
19,3,72,37,94,93,6,0
8,2,99,14,68,100,9,1
16,1,90,17,19,113,7,1
19,2,96,51,34,32,2,0
21,0,73,28,93,49,6,0
21,5,41,59,66,76,5,1
7,1,88,20,75,49,6,1
16,0,22,16,24,90,8,1
6,1,75,17,37,29,8,0
0,3,28,56,22,118,3,1
12,5,33,36,23,85,9,1
22,5,97,59,75,113,6,0
18,3,20,37,43,102,7,0
23,5,68,11,34,58,9,0
18,3,95,74,63,56,7,0
16,0,24,83,88,22,9,1
12,4,19,72,21,108,1,0
15,1,50,0,18,53,1,0
7,3,36,57,40,105,3,0
18,1,69,2,87,57,9,1
17,0,82,62,62,33,1,0
0,4,61,20,52,83,1,1
13,0,37,22,47,58,5,0
18,5,74,8,51,73,8,1
14,1,26,82,81,21,2,1
17,6,53,54,57,115,4,1
1,4,19,18,76,62,6,0
21,5,72,61,75,72,1,1
16,4,91,86,25,22,4,0
17,5,56,90,92,60,4,0
5,0,47,90,25,27,9,1
18,3,79,38,40,109,9,0
3,1,85,99,67,115,6,1
0,2,62,75,37,94,8,0
7,2,87,26,13,82,4,1
22,0,53,45,19,84,8,0
6,1,83,33,60,98,3,1
2,1,63,32,27,23,2,0
9,0,29,91,56,87,6,0
9,1,88,94,41,111,5,1
18,3,40,95,39,29,8,0
13,0,16,49,45,94,1,0
1,3,67,19,18,69,3,1
0,1,19,39,45,42,7,1
22,0,19,98,38,80,4,1
22,1,48,94,25,66,5,1
17,0,37,57,30,22,8,1
6,1,39,30,73,36,1,0
7,3,46,37,75,41,1,1
0,6,76,85,68,110,7,0
22,3,52,44,37,35,9,0
2,1,88,40,64,99,4,0
23,0,94,8,40,22,8,0
22,2,61,8,42,71,7,0
7,3,65,62,96,52,2,1
21,3,85,78,69,61,5,1
14,5,77,76,50,21,9,1
4,2,18,21,90,58,9,1
2,1,32,15,55,65,3,1
18,6,72,31,58,67,3,1
0,0,70,65,74,46,2,0
14,5,49,89,51,34,7,1
7,1,53,13,32,26,6,1
1,4,95,37,36,76,5,1
2,6,33,97,98,61,7,1
23,3,60,7,41,28,4,1
13,4,67,99,92,25,5,0
23,3,99,20,97,76,9,0
13,3,42,55,12,95,9,0
10,4,25,45,69,49,4,1
15,6,31,42,85,74,6,1
3,4,66,91,88,103,2,1
19,1,71,45,26,103,3,0
4,5,91,47,41,73,9,0
21,5,80,69,16,46,6,1
20,4,99,83,92,103,8,1
13,1,81,30,80,78,5,0
22,5,79,32,78,26,2,0
15,1,39,43,67,59,7,0
17,1,32,70,49,113,6,1
6,3,41,7,94,91,2,0
9,5,95,72,57,21,6,1
6,5,66,1,60,33,8,1
0,3,18,16,66,29,1,1
22,4,40,51,80,69,4,0
20,3,80,44,46,37,1,0
18,5,18,36,96,37,2,0
15,5,22,41,84,35,1,0
18,6,67,43,83,71,6,1
3,4,12,80,94,88,6,1
17,3,44,37,64,71,1,1
1,0,30,98,50,50,4,1
0,0,73,93,29,103,4,0
14,4,61,5,42,42,8,1
4,3,43,67,49,115,6,0
19,3,44,50,43,61,2,1
10,1,24,34,71,100,5,0
9,5,15,57,28,81,4,1
1,2,94,56,52,96,4,1
2,6,41,72,78,69,8,0
22,4,61,5,72,96,5,1
22,2,92,12,19,100,3,0
11,2,37,58,22,34,4,1
19,4,94,85,14,109,1,0
4,3,73,91,67,63,6,0
4,4,88,29,68,111,4,0
5,2,87,99,85,61,6,0
8,5,28,1,68,64,2,1
1,6,24,57,86,113,5,0
20,6,15,35,95,54,9,0
11,5,82,71,24,41,8,0
2,5,93,44,86,93,3,0
19,3,47,8,10,94,1,1
21,0,35,64,47,57,3,0
11,4,91,76,62,116,8,1
23,6,60,49,61,89,3,1
16,5,82,78,10,83,5,0
9,4,62,31,20,26,2,0
23,6,65,97,67,63,1,0
13,5,68,42,49,95,5,0
22,6,79,94,95,26,5,1
16,3,87,77,69,85,6,1
17,0,67,53,53,79,2,0
18,0,97,46,15,20,9,0
16,5,22,13,37,81,2,1
13,6,52,47,40,106,2,1
8,3,85,54,17,108,5,0
7,1,60,28,14,37,9,0
1,4,28,46,63,26,4,0
12,4,30,62,26,73,6,0
6,2,92,18,47,86,2,0
8,3,33,90,18,112,4,0
21,6,35,8,83,29,9,1
21,2,54,36,93,80,2,1
10,5,37,91,87,78,1,1
13,6,91,51,23,78,4,1
3,2,38,56,35,88,4,0
12,0,26,87,71,82,1,0
1,4,77,27,34,117,4,1
22,6,53,35,89,27,3,0
4,2,70,63,45,97,2,0
10,0,77,17,89,74,4,0
5,3,83,88,42,25,8,1
17,2,34,34,12,20,7,1
20,5,76,67,96,75,9,1
9,5,11,77,20,116,8,1
3,5,98,38,67,94,1,1
8,6,58,89,73,107,2,1
5,4,79,7,27,29,2,1
1,2,35,87,56,42,8,0
16,3,81,79,53,35,4,1
4,2,36,83,68,35,9,0
5,4,98,14,59,75,2,0
11,0,27,6,78,114,4,1
22,4,63,16,97,25,1,0
20,5,10,85,38,49,3,0
9,6,70,85,99,82,6,1
21,0,12,63,76,20,9,0
20,6,77,11,11,70,1,1
5,5,50,81,34,108,5,0
7,1,46,55,28,65,2,0
1,4,60,45,49,40,7,0
11,4,24,46,11,118,4,0
12,3,17,78,92,57,5,1
20,2,47,15,74,88,8,1
6,0,92,68,71,82,2,1
9,6,65,1,63,69,3,0
12,0,56,91,54,31,5,0
16,3,99,53,58,88,4,0
20,3,19,26,78,92,5,0
13,6,87,30,47,63,3,1
1,2,58,40,13,71,9,0
21,6,50,35,26,28,8,1
10,6,92,46,62,118,6,0
0,5,39,42,94,84,1,0
18,2,14,64,62,29,4,1
20,4,80,49,40,65,7,1
3,5,92,92,31,119,5,1
18,1,40,0,20,77,4,1
20,2,61,71,43,56,9,0
10,3,97,56,24,71,8,1
7,5,32,15,19,118,3,1
10,2,57,27,62,100,6,0
3,0,49,85,57,32,4,0
16,6,15,81,40,25,7,0
6,1,47,21,46,77,1,0
7,4,50,40,37,67,1,1
2,6,36,75,40,51,6,1
21,0,84,18,79,30,7,0
1,0,78,88,23,100,9,1
22,1,66,49,96,24,7,1
14,4,26,58,25,25,9,0
23,3,80,68,34,93,9,1
21,5,56,33,48,116,8,1
21,4,88,38,75,113,7,0
4,2,22,73,47,40,3,1
23,0,20,6,50,61,3,1
0,2,99,51,49,100,5,0
3,3,95,59,73,46,7,1
14,2,33,51,98,22,7,0
19,4,82,78,25,79,1,0
18,2,13,23,91,112,8,0
2,3,55,25,86,85,1,0
19,3,27,89,68,112,4,0
10,3,52,89,20,68,2,0
16,4,89,9,10,119,5,1
12,3,42,16,22,53,6,0
10,0,19,77,39,56,4,1
1,6,82,1,78,61,4,0
8,3,68,76,27,84,7,0
1,2,40,26,87,79,4,0
20,5,37,72,22,109,2,1
8,2,69,70,41,20,4,1
8,5,12,47,80,78,7,0
7,2,64,73,81,23,1,1
16,4,23,8,59,33,4,0
0,2,67,85,80,37,6,0
10,4,98,22,89,53,8,1
7,4,24,70,40,20,8,0
9,3,11,72,60,72,9,0
6,0,33,26,36,41,5,1
2,5,87,87,69,99,2,0
2,3,73,92,42,80,3,0
17,3,80,80,62,41,2,1
4,6,33,83,81,69,9,1
11,4,36,70,42,35,6,0
11,4,46,42,50,47,1,0
18,5,48,6,28,111,3,1
5,2,72,91,94,105,7,1
1,2,88,82,50,89,7,0
11,3,35,62,94,108,5,1
18,1,74,83,98,61,3,1
4,1,13,43,51,85,7,1
11,2,38,38,32,90,5,0
16,1,10,39,84,100,6,0
16,6,59,6,42,54,3,0
9,2,95,69,29,39,6,0
22,4,20,24,34,21,7,0
16,3,83,58,99,26,8,1
14,0,68,12,61,115,2,1
11,3,71,85,21,68,2,1
15,2,90,80,41,102,6,0
23,6,45,85,42,95,8,0
18,2,65,97,83,28,5,1
7,3,99,61,77,46,1,1
20,6,30,7,24,97,1,1
16,6,22,44,60,21,9,1
22,6,18,17,15,104,4,0
4,5,20,87,78,87,1,0
21,2,84,59,78,79,8,1
15,1,79,59,91,104,2,0
5,1,10,1,44,105,2,0
7,2,79,65,95,68,1,0
17,2,86,90,43,21,1,0
11,5,95,13,72,36,9,1
14,1,65,47,77,102,1,1
8,2,40,55,27,107,6,0
12,2,95,11,35,39,7,1
14,5,46,95,95,95,4,0
9,5,56,91,70,108,5,1
15,3,87,54,87,106,4,1
6,5,56,27,83,117,4,1
16,0,78,88,97,51,1,1
22,1,67,3,94,70,6,1
20,3,45,89,57,107,7,1
21,0,41,35,81,61,7,1
6,2,73,49,40,82,8,0
13,2,80,2,43,108,7,1
14,3,51,0,96,80,6,0
20,5,57,16,98,81,8,1
6,6,83,70,16,22,3,1
8,6,90,61,92,108,9,1
18,2,39,47,16,111,3,0
15,6,30,61,56,95,4,0
7,4,69,68,17,45,6,0
17,3,22,18,87,67,8,0
22,0,10,33,10,27,3,0
17,3,74,98,86,24,6,1
19,1,42,48,12,30,5,0
6,5,47,79,62,61,5,0
2,5,34,46,47,118,5,0
17,3,35,90,60,110,9,1
9,2,86,49,24,60,7,1
6,2,68,88,76,38,9,1
16,4,42,25,73,67,9,0
13,4,50,55,77,72,6,1
23,5,39,77,14,74,6,0
2,4,66,13,99,80,4,1
11,0,58,77,98,51,8,1
12,4,57,24,19,65,2,1
1,0,81,99,17,111,5,1
2,4,58,3,21,55,1,1
4,5,56,78,73,37,2,0
10,5,65,31,68,93,1,0
7,0,74,81,76,115,6,1
22,3,21,77,59,37,2,0
22,5,78,64,32,31,4,1
11,3,97,60,49,91,5,1
6,2,15,19,87,116,7,1
14,0,98,73,96,65,1,1
23,6,74,9,86,74,5,1
16,5,34,87,85,57,4,1
3,1,10,33,27,97,7,1
21,2,41,60,30,21,7,0
12,3,12,91,10,28,8,0
17,5,58,26,47,24,4,1
0,0,28,39,50,117,4,0
15,6,69,64,51,38,5,1
12,4,38,32,18,90,5,0
9,6,59,67,32,58,3,0
11,1,11,70,87,61,5,1
1,3,82,8,20,36,5,1
22,2,65,15,80,82,8,0
2,6,26,4,40,109,7,1
9,0,69,97,97,65,8,0
1,1,45,22,35,110,5,1
22,0,70,42,39,111,2,0
12,5,26,88,43,39,8,0
12,4,58,56,55,89,9,0
17,2,85,50,78,27,2,1
2,0,69,12,14,115,1,0
6,3,29,23,70,38,6,1
13,5,59,10,92,51,3,1
19,5,12,51,47,38,1,1
16,2,52,16,37,43,6,1
20,5,66,36,35,43,8,1
11,3,59,12,70,75,9,0
15,0,77,61,32,100,6,1
23,2,90,90,55,37,6,1
11,5,59,83,39,31,1,0
14,5,46,96,76,60,5,0
9,3,55,95,42,106,3,1
6,4,51,7,12,67,7,1
19,4,24,55,78,101,9,1
4,6,42,92,92,83,6,0
0,5,89,82,51,35,5,1
16,0,20,69,71,99,7,1
2,2,29,43,67,119,9,0
12,5,33,59,66,42,5,0
13,1,73,40,10,105,5,0
23,2,89,20,82,58,4,1
17,6,74,85,69,52,5,1
3,4,97,41,78,43,7,1
17,5,97,73,68,80,3,0
4,3,82,73,55,74,4,0
15,1,95,28,43,80,9,1
0,5,85,79,34,103,2,0
20,6,26,64,51,116,8,0
13,0,98,16,38,114,9,0
14,1,70,29,34,59,5,0
8,6,24,25,63,77,7,1
14,5,60,52,82,91,6,1
16,0,36,18,76,93,1,0
23,1,95,52,24,20,8,0
3,0,83,84,13,104,9,0
11,0,70,16,47,44,1,0
4,1,67,45,29,115,8,0
4,1,40,84,32,72,3,1
10,0,21,52,46,80,6,0
5,6,55,63,71,65,8,1
6,4,40,44,17,93,5,1
23,1,41,48,46,79,8,0
13,5,41,18,54,70,7,1
23,2,62,70,42,92,7,0
10,3,70,80,16,103,7,0
12,0,55,64,31,67,9,0
1,0,94,36,14,103,6,1
6,3,83,69,24,59,6,1
19,4,89,25,30,26,9,1
3,3,16,1,98,94,6,0
7,1,13,58,26,104,7,1
19,3,61,95,65,38,7,1
21,0,98,4,59,34,2,1
20,3,40,36,16,89,8,0
18,2,84,30,59,80,6,1
12,5,93,75,69,75,4,0
13,1,45,98,92,29,7,1
9,3,63,93,16,65,8,1
10,0,63,47,49,99,1,1
1,6,26,5,54,94,4,0
8,5,84,14,68,76,4,0
16,1,39,14,97,54,9,1
2,0,31,60,84,91,6,1
23,4,52,15,64,111,4,0
5,2,36,19,73,22,1,0
4,4,46,76,74,85,8,1
4,2,55,43,63,72,9,1
21,3,44,41,49,97,5,0
14,1,13,45,62,71,5,1
22,3,89,94,53,112,8,0
16,2,89,33,72,72,8,1
8,2,94,63,11,73,5,1
2,2,35,28,88,66,4,1
19,5,28,2,30,22,6,1
16,0,90,8,97,84,5,0
9,1,54,74,59,34,8,1
2,3,35,74,90,103,9,1
17,3,31,24,61,105,1,1
17,4,67,85,18,53,9,1
16,2,72,41,29,69,9,1
23,6,37,45,92,52,6,1
2,2,74,72,27,92,5,0
2,2,53,83,93,22,7,1
5,6,52,58,39,21,8,0
12,3,46,20,74,23,9,0
23,4,75,73,33,35,9,0
14,0,26,21,97,73,3,0
8,6,49,28,56,52,8,1
3,5,47,62,92,28,1,1
13,1,94,72,99,76,7,1
4,6,70,60,53,59,5,0
1,0,18,63,38,71,2,1
10,3,86,68,86,101,2,0
8,5,84,39,77,35,8,0
23,5,70,74,26,27,5,1
2,5,89,0,14,106,3,0
8,2,25,64,97,79,1,0
2,1,11,61,90,55,7,0
1,3,81,53,59,22,3,0
11,3,52,59,49,34,7,1
9,5,51,45,55,116,2,0
8,3,86,4,60,101,4,0
14,1,66,21,20,42,2,0
7,1,90,89,21,22,4,1
4,4,97,52,22,49,5,1
10,6,76,69,73,64,8,0
1,6,39,31,17,36,2,1
23,4,22,10,74,77,3,1
14,0,28,9,18,77,5,1
5,6,16,38,11,115,9,1
7,1,18,97,87,76,5,0
4,1,92,30,22,26,9,0
15,6,63,11,11,58,4,1
17,1,95,79,77,97,5,1
5,4,91,37,85,77,9,1
4,5,70,66,57,75,4,1
15,5,96,65,83,34,5,1
12,3,11,51,12,63,5,1
4,5,59,4,77,31,4,1
12,2,84,10,15,27,4,0
16,4,40,24,96,99,5,0
17,1,42,34,14,60,6,1
7,6,87,34,12,53,7,1
12,5,89,21,19,65,6,0
18,4,20,36,52,107,1,0
2,5,42,85,28,48,2,1
23,0,16,54,23,35,7,0
7,1,40,74,30,24,3,0
1,0,57,95,52,24,2,1
7,1,56,98,37,49,6,0
12,4,87,94,30,69,4,1
12,3,62,71,45,24,5,0
0,5,89,63,33,32,6,1
5,5,28,19,63,118,3,0
23,2,90,97,47,68,1,0
18,6,99,3,26,108,3,1
15,0,15,17,31,69,3,0
7,5,58,50,92,33,6,0
0,4,82,67,54,65,4,1
15,3,59,19,83,109,7,0
8,6,90,8,70,101,2,0
12,4,21,79,20,103,4,1
10,0,32,25,70,53,8,1
12,2,63,24,47,90,6,1
20,5,78,67,75,66,3,1
9,4,68,40,42,79,2,1
3,6,45,58,52,93,3,1
5,1,12,44,40,98,1,1
6,3,67,40,44,100,1,1
4,6,97,37,46,30,2,0
10,4,64,18,56,117,3,0
12,3,66,13,32,110,9,1
18,5,26,20,45,104,8,0
22,1,48,14,49,114,9,1
9,2,99,2,99,69,7,0
9,6,77,36,98,23,7,0
10,2,64,45,90,60,5,1
20,1,54,15,24,78,7,0
6,3,85,13,46,79,4,0
17,5,10,8,13,100,5,0
3,4,30,6,31,81,1,1
1,1,92,13,90,103,4,0
13,0,30,5,31,44,3,0
12,3,61,84,90,106,2,1
11,2,91,14,87,98,2,0
6,6,52,51,87,52,8,0
1,1,61,71,26,38,1,0
12,2,76,33,81,76,8,0
13,3,53,0,99,34,9,1
16,2,41,95,95,60,6,1
8,1,19,68,89,88,1,1
16,3,73,93,89,99,7,0
7,0,88,85,47,79,5,1
1,1,78,19,33,115,9,0
23,4,77,79,15,41,7,0
12,5,37,6,77,62,5,1
2,1,62,6,91,51,2,1
15,3,60,49,15,32,4,1
5,6,62,1,35,57,2,0
18,5,13,46,50,45,9,0
6,1,88,13,84,100,2,0
9,0,26,30,47,24,2,0
8,6,76,49,89,68,2,1
1,0,83,60,92,116,1,1
14,4,56,40,52,110,9,0
4,6,65,13,62,24,8,0
21,2,32,4,24,90,2,1
3,6,27,74,99,67,2,1
19,5,10,4,65,37,5,0
3,6,44,63,65,114,4,1
17,3,73,28,40,25,2,0
3,3,67,74,92,85,8,0
16,2,68,4,66,96,8,0
